iter	Passed	Remaining
0	1	136
1	2	116
2	3	104
3	4	107
4	5	107
5	6	107
6	7	104
7	8	100
8	9	97
9	10	93
10	11	90
11	12	89
12	13	87
13	13	84
14	14	83
15	15	83
16	16	82
17	17	81
18	19	82
19	20	80
20	20	78
21	21	75
22	22	74
23	22	72
24	23	70
25	24	68
26	24	67
27	25	65
28	26	64
29	26	62
30	27	61
31	28	59
32	28	58
33	29	57
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	34	52
40	35	51
41	35	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	39	43
48	40	42
49	41	41
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	36
56	46	35
57	47	34
58	48	33
59	49	32
60	49	31
61	50	30
62	51	30
63	52	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	67	14
82	67	13
83	68	13
84	68	12
85	69	11
86	70	10
87	70	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	81	0
